Variant SKU,Variant Title,Product Title,Product Handle,Product Collection Id,Product Type Id,Product Tag 1,Variant Price EUR,Product Tag 3,Product Tag 2,Product Weight,Product Status,Product Discountable,Variant Manage Inventory,Variant Allow Backorder,Product Thumbnail
3154551549642,Default,CHAPEAU PIED DE POTEAU 7X7X7,chapeau-pied-de-poteau-7x7x7,BRICOLAGE,QUINCAILLERIE,NORAIL 2020,1.20,56,G5,75,published,TRUE,TRUE,FALSE,
3600070987385,Default,ADAPT MALE 20X27,adapt-male-20x27,JARDIN,ARROSAGE,BRICODEAL,1.20,10,H6,10,published,TRUE,TRUE,FALSE,
8717729112595,Default,RAC TUYAU SOUPLE 1/2 - 5/8,rac-tuyau-souple-1-2-5-8,JARDIN,ARROSAGE,ZENTRADA,1.20,20,H1,25,published,TRUE,TRUE,FALSE,
8720812429937,Default,MINI PELLE PLOASTIQUE,mini-pelle-ploastique,JARDIN,OUTILS DE JARDIN,ZENTRADA,1.20,7,A7,90,published,TRUE,TRUE,FALSE,
8721178202073,Default,KIT 2 OUTILS DE JARDIN,kit-2-outils-de-jardin,JARDIN,OUTILS DE JARDIN,ZENTRADA,1.20,24,D3,95,published,TRUE,TRUE,FALSE,
3086960203832,Default,SOUCOUPE MARINA GRIS 26CM,soucoupe-marina-gris-26cm,JARDIN,POTERIE PLASTIQUE,BRICODEAL,1.20,1,A4,110,published,TRUE,TRUE,FALSE,
3157060914765,Default,BAC RONDA 14 STONE,bac-ronda-14-stone,JARDIN,POTERIE PLASTIQUE,LEDUC LUBOT,1.20,8,A4,50,published,TRUE,TRUE,FALSE,
3580797120770,Default,SOUCOUPE RONDE 20 GRIS,soucoupe-ronde-20-gris,JARDIN,POTERIE PLASTIQUE,LEDUC LUBOT,1.20,6,A4,60,published,TRUE,TRUE,FALSE,
3157060914772,Default,BAC RONDA 14 GRIS,bac-ronda-14-gris,JARDIN,POTERIE PLASTIQUE,LEDUC LUBOT,1.20,12,A4,50,published,TRUE,TRUE,FALSE,
3700473345833,Default,CAPSULE TO63 RUCHE LE SACHET D,capsule-to63-ruche-le-sachet-d,APICULTURE,ACCESSOIRES,LA JOCONDIENNE,2.40,2,B5,80,published,TRUE,TRUE,FALSE,
3087914504302,Default,PINCEAU PLAT BI-MAT LASURE T30,pinceau-plat-bi-mat-lasure-t30,BRICOLAGE,OUTILS,DOD,2.40,1,G7,40,published,TRUE,TRUE,FALSE,
3087915005075,Default,BAC PIENTURE ANTIGLISS,bac-pienture-antigliss,BRICOLAGE,OUTILS,DOD,2.40,2,E4,130,published,TRUE,TRUE,FALSE,
5400204932193,Default,DIVERS BAC D20,divers-bac-d20,JARDIN,POTERIE PLASTIQUE,DIVERS,6.00,1,B3,72,published,TRUE,TRUE,FALSE,
